sku,attribute_set_code,product_type,category,subcategory,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,url_key,meta_title,meta_description,image,additional_attributes,additional_attributes2,qty
VIN-123,Wine,simple,Vinhos,Branco,wine,Vinho Astrolabium Branco,"<p>Vinho frutado, fresco, notório volume de boca e distinta persistência. Distinta intensidade aromática, sendo predominante em frutos tropicais e flor de citrinos. Cor citrina definida com ligeiros tons esverdeados.
</p>","<p>Vinho frutado, fresco, notório volume de boca e distinta persistência. Distinta intensidade aromática, sendo predominante em frutos tropicais e flor de citrinos. Cor citrina definida com ligeiros tons esverdeados. </p>
",750,1,0,"Catalog, Search",64.00,astrolabium-branco,Vinho Astralabium Branco,Vinho Branco da vinícula Astrolabium,import/astrolabium.jpg,importado,true,1000
VIN-124,Wine,simple,Vinhos,Rose,wine,Vinho Piscine Rosé ,"<p>Jacques Tranier, o presidente da Vinovalie, um grupo de produtores do Sudoeste francês, estava de férias em 2003 perto de Saint Tropez, na Côte d'Azur, quando num bar viu o garçom servir vinho rosé em taças de Cognac com gelo. A maioria das pessoas que pedia eram mulheres e bebiam isto do início ao final da refeição, do aperitivo ao digestivo. Curioso pediu uma taça, mas o vinho se por um lado estava geladinho e refrescante graças ao gelo, por outro ficava aguado, diluído e sem sabor. O conceito estava ali, mas faltava o produto. De volta ao batente pediu aos enólogos da casa que se debruçassem sobre o problema e que achassem uma solução. Enquanto isso Jacques ficou pensando no nome e na embalagem. Cores que remetessem ao verão e à Côte d'Azur que o inspirou. Praia, piscina, vinho rosé, gelo, taça grande... o ""brain storm"" no marketing apontou a solução: Rosé Piscine.</p>",<p>Vinho Rosé Piscine</p>,750,1,0,"Catalog, Search",64.90,piscine-rose,Vinho Rosé Piscine,Vinho Rosé Piscine,import/piscine.jpg,importado,true,1000
VIN-125,Wine,simple,Vinhos,Tinto,wine,Alma Negra Tinto 2017,"<p>O consagrado Alma Negra é um delicioso ""corte secreto"" de Tikal, que não revela quais uvas ou qual a proporção que entra neste intrigante blend. O bouquet é exuberante e exótico, enquanto no palato o vinho se mostra macio e intenso, com personalidade bastante peculiar. Um dos maiores sucessos entre os vinhos argentinos.</p>",<p>Vinho tinto Alma Negra</p>,750,1,0,"Catalog, Search",254.06,almanegra-tinto,Alma Negra Tinto 2017,Alma Negra Tinto 2017,import/almanegra.png,importado,true,1000
VIN-126,Wine,simple,Espumantes,Charmat,wine,Gazzaro Espumante Branco Brut Charmat,"<p> Origem: Flores da Cunha/RS – Serra Gaúcha</p>
<p>Produto: Brut Charmat</p>
<p>Estilo: Espumante branco</p>
<p>Composição: Chardonnay e Pinot Noir</p>
<p>Altitude: 780 metros</p>
<p>Sistema de Condução: Espaldeira</p>
<p>Colheita: 15/01 a 25/01</p>
<p>Fermentação: Aço inox com controle de T°C e posterior espumatização em autoclave de aço inox.</p>
<p>Tamanho: 750 ml</p>
<p>Teor Alcoólico: 13%</p>",<p>Gazzaro Espumante Branco Bruit Charmat</p>,750,1,0,"Catalog, Search",120.24,gazzaro-espumante,Gazzaro Espumante Branco Bruit Charmat,Gazzaro Espumante Branco Bruit Charmat,import/gazzaro.jpg,tipo-vinho,Branco,1000
VIN-127,Wine,simple,Espumantes,Champenoise,wine,Thera Auguri Blanc de Blancs Brut Champenoise 2020,"<p>O Espumante top da premiada vinícola Catarinense.</p><p> Coloração amarelo palha de média intensidade é delicado e refrescante. Apresenta perlage pequena, fina e uma coroa de espuma elegante. Ao nariz, aromas de maçã verde, grama e ervas. É untuoso, de acidez presente e agradável.</p>",<p> Thera Auguri Blanc de Blancs Brut Champenoise 2020</p>,750,1,0,"Catalog, Search",149.00,thera-espumante,Thera Auguri Blanc de Blancs Brut Champenoise 2020,Thera Auguri Blanc de Blancs Brut Champenoise 2020,import/thera.png,tipo-vinho,Branco,1000
VIN-128,Wine,simple,Premium,Escolhidos dos Enólogos,wine,Vinho Tinto Argentino Maison Pouget Corte Oro 2012,"<p>Maison Pouget 2012 Corte Oro. Eleito o melhor Malbec do Mundo por dois anos 2008/2009, entre 400.000 amostras de todo o mundo, pela Associação Mundial de Escritores e Jornalistas de Vinhos e Bebidas Espirituosas.Trata-se de série limitada com apenas 3.032 garrafas.
Raridade! A garrafa em si já é uma verdadeira obra de arte, a parte superior em formado do globo terrestre, envolvida com escultura de metal, com medalha personalizada. O vinho que não pode faltar na estante dos apreciadores e colecionadores.</p>",<p> Vinho Tinto Argentino Maison Pouget Corte Oro 2012</p>,750,1,0,"Catalog, Search",3990.00,maison-escolhidos,Vinho Tinto Argentino Maison Pouget Corte Oro 2012,Vinho Tinto Argentino Maison Pouget Corte Oro 2012,import/maison.jpg,ml,750ml,100
VIN-129,Wine,simple,Premium,Escolhidos dos Enólogos,wine,Vinho Château d'Yquem Sauternes 2006,"<p>O Vinho Château d'Yquem Sauternes 2006 é, simplesmente, um dos melhores Vinhos de Sobremesa do mundo! Assinado pelo Château d'Yquem, o único Premier Cru Supérieur de Sauternes, segundo a histórica classificação de vinhos de Bordeaux de 1855. Produzido com um corte das uvas Sémillon e Sauvignon Blanc, apresenta uma belíssima coloração dourada profunda com nuances âmbar, o que faz esse vinho ser conhecido como ouro líquido. No nariz, revela aromas de frutas brancas e de frutas cítricas, como damasco, além de toques de baunilha. Em boca, o Vinho Château d'Yquem Sauternes 2006 é um verdadeiro néctar, contando com grande doçura e um ótimo corpo. Esse Vinho Sauternes goza de um excepcional e impressionante potencial de guarda, podendo ser bebido em vinte, cinquenta, ou até mesmo cem anos! </p>",<p>Vinho Château d'Yquem Sauternes 2006</p>,750,1,0,"Catalog, Search",10800.00,chateau-escolhidos,Vinho Château d'Yquem Sauternes 2006,Vinho Château d'Yquem Sauternes 2006,import/chateau.png,ml,750ml,100
VIN-130,Wine,simple,Vinhos,Branco,wine,Vinho Branco Espanhol Bayanegra,"<p>Um vinho fresco, leve, com pouca acidez, ótima experiencia para quem não conhece nada sobre essa uva. Vinho para ser degustado em qualquer hora e para qualquer lugar.
</p>","<p>Um vinho fresco, leve, com pouca acidez, ótima experiencia para quem não conhece nada sobre essa uva. Vinho para ser degustado em qualquer hora e para qualquer lugar.",750,1,0,"Catalog, Search",121.74,bayanegra-branco,"Vinho Branco Espanhol Bayanegra
","Vinho Branco Espanhol Bayanegra
",import/bayanegra.jpg,ml,750ml,1000
VIN-131,Wine,simple,Vinhos,Rose,wine,Vinho Gem Languedoc Rose Serac 750Ml,"<p>Uvas meticulosamente selecionadas por parcela. Eles são colhidos mecanicamente à noite, prensagem pneumática rápida e fermentação alcoólica de vinhos de funcionamento livre a baixa temperatura
</p>","<p>Uvas meticulosamente selecionadas por parcela. Eles são colhidos mecanicamente à noite, prensagem pneumática rápida e fermentação alcoólica de vinhos de funcionamento livre a baixa temperatura </p>
",750,1,0,"Catalog, Search",90.22,gem-rose,"Vinho Gem Languedoc Rose Serac 750Ml
","Vinho Gem Languedoc Rose Serac 750Ml
",import/gem.jpeg,ml,750ml,1000
VIN-132,Wine,simple,Vinhos,Tinto,wine,Vinho Tinto Vilvati Blend,"<p>Elaborado através das uvas Touriga Nacional, Merlot e Marselan. De coloração violeta de média intensidade. No olfato, destaca-se pela riqueza dos seus aromas, apresentando notas de frutas negras como amora e cassis, flores como as violetas e delicados traços de especiarias. Em boca demonstra potência e ao mesmo tempo elegância, taninos intensos e bem integrados, acidez refrescante e final muito persistente sendo predominante em frutos tropicais e flor de citrinos. Cor citrina definida com ligeiros tons esverdeados.
</p>","<p>Vinho Tinto Vilvati Blend
</p>
",750,1,0,"Catalog, Search",109.00,vivalti-tinto,Vinho Tinto Vilvati Blend,Vinho Tinto Vilvati Blend,import/vivalti.jpg,ml,750ml,1000
